Customer ID,Customer Verbatim
8779-QRDMV,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
7495-OOKFY,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
1658-BYGOY,Agent notes: customer is angry about the sudden price hike. They mentioned that competitors offer fiber for cheaper and they want a contract review.
4598-XLKNJ,Frustrated chat transcript: 'My Fiber Optic internet has been down twice this week. I work from home and this is unacceptable. I want a refund.'
4846-WHAFZ,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
4412-YLTKF,Frustrated chat transcript: 'My Fiber Optic internet has been down twice this week. I work from home and this is unacceptable. I want a refund.'
0390-DCFDQ,Customer checked their billing balance. Seemed satisfied with the response.
3445-HXXGF,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
2656-FMOKZ,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
2070-FNEXE,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
0094-OIFMO,Customer is complaining about poor internet speed. They said they pay for fiber but get speeds slower than DSL. Very unhappy.
9947-OTFQU,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
9514-JDSKI,Tech support note: Customer had 3 technician visits this month for DSL internet issues and it is still not fixed. Customer is highly dissatisfied.
7273-TEFQD,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
3606-TWKGI,Tech support note: Customer had 3 technician visits this month for Cable internet issues and it is still not fixed. Customer is highly dissatisfied.
4385-GZQXV,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
3488-PGMQJ,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
7534-BFESC,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
8098-LLAZX,Customer called to check if paperless billing is active. No comments on service quality.
0265-EDXBD,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
2840-XANRC,Customer checked their billing balance. Seemed satisfied with the response.
5020-ZSTTY,Billing dispute: Customer claims they were charged extra for services they didn't authorize. They are demanding immediate correction.
5804-LEPIM,Customer called to complain about constant Fiber Optic internet drops. They are extremely frustrated with the lack of reliable connection and threatened to cancel.
0623-IIHUG,Customer checked their billing balance. Seemed satisfied with the response.
9057-MSWCO,Tech support note: Customer had 3 technician visits this month for Cable internet issues and it is still not fixed. Customer is highly dissatisfied.
4895-TMWIR,App review: 'Worst service ever. The billing is inconsistent and customer support keeps transferring me without solving my issue.'
0533-BNWKF,Tech support note: Customer had 3 technician visits this month for Fiber Optic internet issues and it is still not fixed. Customer is highly dissatisfied.
